Instance,Algorithm,Status,Time,Cost,Error
100.in,Exact,Success,300.0316,175706.0,
100.in,Constructive,Success,0.0347,27807.0,
100.in,LocalSearch,Success,1.9298,22437.0,
100.in,GRASP,Success,149.9851,21609.0,
101.in,Exact,Timeout,300.0000,,
101.in,Constructive,Success,0.0319,803.0,
101.in,LocalSearch,Success,1.7033,658.0,
101.in,GRASP,Success,121.5621,666.0,
127.in,Exact,Timeout,300.0000,,
127.in,Constructive,Success,0.0323,135737.0,
127.in,LocalSearch,Success,2.1997,122097.0,
127.in,GRASP,Timeout,300.0000,,
1379.in,Exact,Error,0.3069,,
1379.in,Constructive,Success,0.3782,68964.0,
1379.in,LocalSearch,Timeout,300.0000,,
1379.in,GRASP,Timeout,300.0000,,
17.in,Exact,Timeout,300.0000,,
17.in,Constructive,Success,0.0303,2187.0,
17.in,LocalSearch,Success,0.0294,2085.0,
17.in,GRASP,Success,0.0847,2085.0,
